model_family,model_variant,train_size_label,k,run_count,seeds,precision_at_k_mean,precision_at_k_std,recall_at_k_mean,recall_at_k_std,positive_count_at_k_mean,positive_count_at_k_std,mean_score_at_k_mean,mean_score_at_k_std
M1_TFIDF,baseline,full,100,3,"42,43,44",0.25,0.0,0.01183712121212121,2.1245936804851847e-18,25.0,0.0,0.9486836129426957,2.6256948388657958e-05
M1_TFIDF,baseline,full,500,3,"42,43,44",0.35799999999999993,6.798699777552591e-17,0.08475378787878789,1.6996749443881478e-17,179.0,0.0,0.9049500714143117,3.3680322542014035e-05
M1_TFIDF,baseline,full,1000,3,"42,43,44",0.403,0.0,0.19081439393939395,0.0,403.0,0.0,0.8714825283090274,3.79068379730944e-05
M1_TFIDF,baseline,full,2000,3,"42,43,44",0.407,0.0,0.3854166666666667,0.0,814.0,0.0,0.8204893345137437,3.8510174632278834e-05
M3_mean,mean_pooling,40k,100,3,"42,43,44",0.5566666666666666,0.09451631252505216,0.026357323232323232,0.004475204191527093,55.666666666666664,9.451631252505216,0.9802247118949889,0.0068645557641102495
M3_mean,mean_pooling,40k,500,3,"42,43,44",0.5473333333333333,0.05201281893277206,0.12957702020202022,0.012313640845826725,273.6666666666667,26.00640946638604,0.9784592527151107,0.007544914609485041
M3_mean,mean_pooling,40k,1000,3,"42,43,44",0.523,0.031048349392520075,0.24763257575757577,0.014700923007821979,523.0,31.04834939252005,0.9755153060356777,0.008576993574179764
M3_mean,mean_pooling,40k,2000,3,"42,43,44",0.47150000000000003,0.026556543449778997,0.4464962121212121,0.025148241903199805,943.0,53.113086899558006,0.9601903405487536,0.011031825248549678
M3_mean,mean_pooling,full,100,3,"42,43,44",0.6633333333333332,0.3412232895529455,0.03140782828282828,0.016156405755347797,66.33333333333333,34.122328955294556,0.9680255629618962,0.005287318363945725
M3_mean,mean_pooling,full,500,3,"42,43,44",0.5766666666666667,0.17731704185817376,0.13652146464646464,0.04197846634899946,288.3333333333333,88.65852092908686,0.964812871535619,0.005126290206966833
M3_mean,mean_pooling,full,1000,3,"42,43,44",0.5399999999999999,0.08674675786448735,0.2556818181818182,0.04107327550401863,540.0,86.74675786448736,0.9599265769918759,0.0052069251784184955
M3_mean,mean_pooling,full,2000,3,"42,43,44",0.4731666666666667,0.04079317753415801,0.448074494949495,0.038629902967952656,946.3333333333334,81.58635506831601,0.9399202349185943,0.009968579862946294
M4_frozen,frozen_encoder,40k,100,3,"42,43,44",0.5633333333333334,0.23094010767585027,0.026672979797979796,0.010934664189197458,56.333333333333336,23.09401076758503,0.9926235804955165,0.005881645291264317
M4_frozen,frozen_encoder,40k,500,3,"42,43,44",0.5419999999999999,0.13355148819837237,0.12831439393939395,0.031617303077266186,271.0,66.7757440991862,0.9780110723574956,0.009571737660191473
M4_frozen,frozen_encoder,40k,1000,3,"42,43,44",0.5073333333333333,0.07072717535242963,0.2402146464646465,0.03348824590550647,507.3333333333333,70.72717535242965,0.9586849179069201,0.011511133019175189
M4_frozen,frozen_encoder,40k,2000,3,"42,43,44",0.4446666666666667,0.026392865197498606,0.42108585858585856,0.024993243558237333,889.3333333333334,52.785730394997216,0.9116326469480992,0.012511936616528945
M4_frozen,frozen_encoder,full,100,3,"42,43,44",0.48,0.22605309110914631,0.02272727272727273,0.010703271359334578,48.0,22.60530911091463,0.9917724456389746,0.004426947076531865
M4_frozen,frozen_encoder,full,500,3,"42,43,44",0.48666666666666664,0.07422488351848948,0.11521464646464645,0.017572178863278762,243.33333333333334,37.112441759244746,0.9752603390614191,0.009644430146718293
M4_frozen,frozen_encoder,full,1000,3,"42,43,44",0.4676666666666667,0.03564173583501978,0.2214330808080808,0.016875821891581343,467.6666666666667,35.64173583501978,0.9569409859379133,0.012967982023117566
M4_frozen,frozen_encoder,full,2000,3,"42,43,44",0.43116666666666664,0.010750968948580101,0.4083017676767677,0.010180841807367523,862.3333333333334,21.501937897160186,0.9159927860399087,0.017867699900299534
