tokenizer_protocol,model_family,model_variant,train_size_label,requested_train_size,effective_train_size,split,run_count,seeds,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,f1_mean,f1_std,brier_mean,brier_std,ECE_mean,ECE_std,baseline_AUPRC_mean,baseline_AUPRC_std,accuracy_mean,accuracy_std
strict_atomic_train,M1_TFIDF,baseline,full,full,61504,test,3,"42,43,44",0.8310075095086669,1.2041335075094024e-06,0.3663287211493858,2.9786048303491293e-06,0.49120091874055277,8.520408581510922e-05,0.16367812672345985,8.454201798141791e-06,0.2050142465041861,1.340655930758914e-05,0.1480858224652924,0.0,0.7540316926097321,0.0
strict_atomic_train,M1_TFIDF,baseline,full,full,61504,val,3,"42,43,44",0.9049631788395921,5.653369249827983e-07,0.8001156119495404,5.114859005599621e-06,0.7534511200946777,0.00014901552861576163,0.12648605344956018,2.9618025674352287e-06,0.08647960082521934,1.5849430398162714e-05,0.3121345029239766,0.0,0.825925925925926,8.440793409210422e-05
strict_atomic_train,M3_mean,mean_pooling,40k,40k,40000,test,3,"42,43,44",0.841461295049258,0.01120968709655546,0.43717090039503687,0.03160736357087648,0.48916270533351797,0.020580231228076354,0.17073933392714355,0.015417529355757078,0.1697312826960007,0.037446022297406144,0.1480858224652924,0.0,0.7774271958117142,0.028482219086277988
strict_atomic_train,M3_mean,mean_pooling,40k,40k,40000,val,3,"42,43,44",0.8968903146701442,0.0031460512626890745,0.7893713284443643,0.008012468206854284,0.7328594554704272,0.006592207334967108,0.13535258493349453,0.00743033183106199,0.09325406247228891,0.025795629429602146,0.3121345029239766,0.0,0.8183723196881091,0.01622894822273802
strict_atomic_train,M3_mean,mean_pooling,full,full,61504,test,3,"42,43,44",0.8440628702144904,0.014334354052049508,0.46108767340198753,0.07776854532946934,0.49085561089158963,0.016745103533247943,0.15966562985806224,0.010136578219148247,0.14523581507779784,0.009877467054368861,0.1480858224652924,0.0,0.785560697424391,0.011423880710214626
strict_atomic_train,M3_mean,mean_pooling,full,full,61504,val,3,"42,43,44",0.906153070172164,0.0008033422582337336,0.8066716978571956,0.004915436429026209,0.7419459897982589,0.007217360101100924,0.125817705531883,0.003053939771304581,0.07637893326171369,0.008975583332112088,0.3121345029239766,0.0,0.828167641325536,0.0038937591336136827
strict_atomic_train,M4_frozen,frozen_encoder,20k,20k,20000,test,3,"42,43,44",0.8109804968408364,0.0014326078738887008,0.39463554768494674,0.024008296751755493,0.45672104515894807,0.007024356398227574,0.15099046256937831,0.00682228717180637,0.13021893163644813,0.010599370869931788,0.1480858224652924,0.0,0.7911933810124808,0.006740297304005188
strict_atomic_train,M4_frozen,frozen_encoder,20k,20k,20000,val,3,"42,43,44",0.8762997326245353,0.006634829749768406,0.7594750229278714,0.009242421638233652,0.6992457513455977,0.01247497372002534,0.1362302758422083,0.0032331385917158577,0.0654976245826707,0.0077345622333902745,0.3121345029239766,0.0,0.8091130604288499,0.007916816283938978
strict_atomic_train,M4_frozen,frozen_encoder,40k,40k,40000,test,3,"42,43,44",0.8222272038803675,0.002606442805782681,0.41665564122458476,0.05196507953933317,0.4685590136019199,0.004599522092314968,0.16025365726116905,0.002564783425906394,0.15195493921138467,0.008633718459865205,0.1480858224652924,0.0,0.7736876548403684,0.008986212076171384
strict_atomic_train,M4_frozen,frozen_encoder,40k,40k,40000,val,3,"42,43,44",0.8857624680505815,0.001983964940824401,0.7758291394446636,0.007275351058818475,0.7181368671032171,0.006066532260847327,0.1366461579633689,0.0003758461561445621,0.0792604610237875,0.0023070979850201324,0.3121345029239766,0.0,0.8076998050682261,0.003841256607980232
strict_atomic_train,M4_frozen,frozen_encoder,full,full,61504,test,3,"42,43,44",0.8246147496051046,0.004951365320297891,0.39805134031594563,0.023133736380766948,0.47351333974830084,0.008031459098896023,0.16739031746873942,0.006494843205608119,0.1649216522004948,0.010109145317773287,0.1480858224652924,0.0,0.7631234515963166,0.006228267303283115
strict_atomic_train,M4_frozen,frozen_encoder,full,full,61504,val,3,"42,43,44",0.8939587745692169,0.0014834551528538757,0.7917502791827697,0.0015489481598734642,0.7256209442298761,0.008111000601477644,0.1341224748530092,0.0059279910010410315,0.08390302642985152,0.014326899201526112,0.3121345029239766,0.0,0.8078460038986356,0.007311890578366869
